Country,Year,Rice,Rank
Malaysia,1995,31619,6
Myanmar,1995,29766,8
Philippines,1995,28043,9
SriLanka,1995,31586,7
Thailand,1995,24158,12
VietNam,1995,36898,5
China,1996,62050,3
India,1996,28226,10
Indonesia,1996,44168,4
Japan,1996,65402,2
Korea,1996,67888,1
Lao,1996,25526,11
Malaysia,1996,32510,6
Myanmar,1996,30649,8
Philippines,1996,28558,9
SriLanka,1996,31231,7
Thailand,1996,24097,12
VietNam,1996,37689,5
China,1997,63111,3
India,1997,28457,10
Indonesia,1997,44322,4
Japan,1997,64163,2
Korea,1997,69529,1
Lao,1997,27607,11
Malaysia,1997,30676,8
Myanmar,1997,30789,7
Philippines,1997,29326,9
SriLanka,1997,32451,6
Thailand,1997,23787,12
VietNam,1997,38768,5
China,1998,63529,2
India,1998,28805,9
Indonesia,1998,41974,4
Japan,1998,62188,3
Korea,1998,64169,1
Lao,1998,27116,10
Malaysia,1998,28829,8
Myanmar,1998,31286,7
Philippines,1998,26984,11
SriLanka,1998,35102,6
Thailand,1998,24654,12
VietNam,1998,39585,5
China,1999,63344,3
India,1999,29782,8
Indonesia,1999,42519,4
Japan,1999,64143,2
Korea,1999,65961,1
Lao,1999,29304,11
Malaysia,1999,29415,10
Myanmar,1999,32405,7
Philippines,1999,29468,9
SriLanka,1999,32810,6
Thailand,1999,24245,12
VietNam,1999,41018,5
China,2000,62642,3
India,2000,28508,11
Indonesia,2000,44007,4
Japan,2000,67023,2
Korea,2000,67110,1
Lao,2000,30606,10
Malaysia,2000,30640,9
Myanmar,2000,33834,7
Philippines,2000,30681,8
SriLanka,2000,34374,6
Thailand,2000,26128,12
VietNam,2000,42432,5
China,2001,61524,3
India,2001,31158,10
Indonesia,2001,43879,4
Japan,2001,66354,2
Korea,2001,68381,1
Lao,2001,31264,9
Malaysia,2001,31102,11
Myanmar,2001,34177,7
Philippines,2001,31866,8
SriLanka,2001,35228,6
Thailand,2001,27687,12
VietNam,2001,42853,5
China,2002,61855,3
India,2002,26163,12
Indonesia,2002,44691,5
Japan,2002,65823,1
Korea,2002,63495,2
Lao,2002,32739,9
Malaysia,2002,32385,10
Myanmar,2002,34172,7
Philippines,2002,32797,8
SriLanka,2002,34889,6
Thailand,2002,28996,11
VietNam,2002,45903,4
China,2003,60606,1
India,2003,31177,11
Indonesia,2003,45426,5
Japan,2003,58499,3
Korea,2003,59201,2
Lao,2003,31404,10
Malaysia,2003,33596,9
Myanmar,2003,35457,6
Philippines,2003,33696,8
SriLanka,2003,33696,8
Thailand,2003,28998,12
VietNam,2003,46387,4
China,2004,63085,3
India,2004,29756,11
Indonesia,2004,45365,5
Japan,2004,64151,2
Korea,2004,67291,1
Lao,2004,32831,10
Malaysia,2004,33260,9
