633,Factory
634,Bus Station
635,Coffee Shop
636,Bus Station
637,Airport Food Court
638,Residential Building (Apartment / Condo)
639,Trade School
640,Home (private)
641,High School
642,Moving Target
643,College Gym
644,High School
645,Snack Place
646,Bus Line
647,Fast Food Restaurant
648,Nightclub
649,Hotel
650,Other Nightlife
651,Dim Sum Restaurant
652,Food Court
653,cafe
654,High School
655,Fire Station
656,College Classroom
657,High School
658,Bus Station
659,Toy / Game Store
660,Food Court
661,High School
662,Airport Terminal
663,Bus Line
664,Smoke Shop
665,Military Base
666,Library
667,High School
668,Harbor / Marina
669,Nightclub
670,Gym
671,Train Station
672,Bus Line
673,General College & University
674,Subway
675,Fast Food Restaurant
676,Other Great Outdoors
677,Building
678,Subway
679,High School
680,Train Station
681,American Restaurant
682,Nightclub
683,Subway
684,Bus Station
685,Home (private)
686,School
687,General College & University
688,Mall
689,College Academic Building
690,High School
691,Home (private)
692,Office
693,Fast Food Restaurant
694,Medical Center
695,High School
696,Police Station
697,High School
698,Bus Line
699,Road
700,Building
701,Zoo
702,Neighborhood
703,Home (private)
704,Home (private)
705,High School
706,High School
707,Dance Studio
708,Asian Restaurant
709,Embassy / Consulate
710,Restaurant
711,Food Court
712,General College & University
713,College Administrative Building
714,Boat or Ferry
715,High School
716,Temple
717,Office
718,Military Base
719,Restaurant
720,Hospital
721,Fraternity House
722,Airport
723,Food Court
724,Building
725,Food Court
726,Seafood Restaurant
727,Residential Building (Apartment / Condo)
728,Donut Shop
729,Gym
730,Bank
731,High School
732,University
733,Train Station
734,Asian Restaurant
735,Bridge
736,Train Station
737,Train Station
738,Military Base
739,Building
740,Mall
741,-1
742,University
743,Office
744,-1
745,Yoga Studio
746,Taxi
747,Airport
748,Home (private)
749,Bus Station
750,Bank
751,Student Center
752,Coffee Shop
753,Food Court
754,Mall
755,Soccer Stadium
756,Snack Place
757,Elementary School
758,Fire Station
759,College Academic Building
760,Grocery Store
761,Home (private)
762,Mall
763,Home (private)
764,Sporting Goods Shop
765,Military Base
766,High School
767,Fast Food Restaurant
768,Train Station
769,Home (private)
770,Bus Station
771,Coffee Shop
772,Coworking Space
773,Coffee Shop
774,General Entertainment
775,Parking
776,University
777,Building
778,Food Court
779,Home (private)
780,Mall
781,Clothing Store
782,Garden
783,Bus Station
784,College Academic Building
785,Military Base
786,Office
787,Bus Line
788,College Engineering Building
789,Coffee Shop
790,General Entertainment
791,College Engineering Building
792,Auditorium
793,Hobby Shop
794,Hospital
795,cafe
796,Food Court
797,Military Base
798,Airport Terminal
799,Home (private)
800,Housing Development
801,Subway
802,Office
803,Road
804,High School
805,Courthouse
806,Light Rail
807,College Cafeteria
808,Subway
809,Asian Restaurant
810,Medical Center
811,General College & University
812,Parking
813,College Academic Building
814,Bus Station
815,Residential Building (Apartment / Condo)
816,Department Store
817,Building
818,Bus Line
819,Government Building
820,Building
821,High School
822,Electronics Store
823,Bus Line
824,-1
825,Home (private)
826,Moving Target
827,Office
828,General College & University
829,-1
830,Mall
831,Doctor's Office
832,-1
833,Coffee Shop
834,Office
835,Bus Station
836,University
837,College Academic Building
838,Mall
839,Train Station
840,Office
841,General Entertainment
842,Office
843,High School
844,Military Base
845,Train Station
846,Food Court
847,Train Station
848,College Science Building
849,High School
850,Building
851,Chinese Restaurant
852,College Classroom
853,Doctor's Office
854,Fast Food Restaurant
855,Food Court
856,Building
857,Student Center
858,Gym
859,Residential Building (Apartment / Condo)
860,Home (private)
861,Gym
862,College Classroom
863,Trade School
864,-1
865,Airport Terminal
866,Plane
867,Dentist's Office
868,Hospital
869,Office
870,High School
871,Residential Building (Apartment / Condo)
872,Building
873,Chinese Restaurant
874,Home (private)
875,Park
876,High School
877,College Lab
878,Gas Station / Garage
879,Chinese Restaurant
880,Office
881,High School
882,Lounge
883,Bakery
884,Road
885,College Academic Building
886,Food Court
887,School
888,Medical Center
889,Building
890,General College & University
891,General College & University
892,Bus Station
893,Military Base
894,College Engineering Building
895,Road
896,-1
897,Seafood Restaurant
898,Mall
899,Karaoke Bar
900,Plaza
901,Field
902,High School
903,College Academic Building
904,Road
905,Asian Restaurant
906,Residential Building (Apartment / Condo)
907,Gas Station / Garage
908,Home (private)
909,Tourist Information Center
910,Office
911,Subway
912,Office
913,Home (private)
914,College Classroom
915,Building
916,Gym
917,Italian Restaurant
918,Hotel
919,Food Court
920,Office
921,College Administrative Building
922,College Library
923,Smoke Shop
924,Dentist's Office
925,Mall
926,Bus Line
927,Residential Building (Apartment / Condo)
928,Sushi Restaurant
929,Military Base
930,Pool Hall
931,Food Court
932,Residential Building (Apartment / Condo)
933,Office
934,Mall
935,Department Store
936,Subway
937,School
938,Temple
