794,Hospital,3
795,cafe,2
796,Food Court,6
797,Military Base,3
798,Airport Terminal,7
799,Home (private),8
800,Housing Development,8
801,Subway,7
802,Office,3
803,Road,7
804,High School,3
805,Courthouse,3
806,Light Rail,7
807,College Cafeteria,1
808,Subway,7
809,Asian Restaurant,2
810,Medical Center,3
811,General College & University,1
812,Parking,3
813,College Academic Building,1
814,Bus Station,7
815,Residential Building (Apartment / Condo),8
816,Department Store,6
817,Building,8
818,Bus Line,7
819,Government Building,3
820,Building,8
821,High School,3
822,Electronics Store,6
823,Bus Line,7
824,-1,-1
825,Home (private),8
826,Moving Target,7
827,Office,3
828,General College & University,1
829,-1,-1
830,Mall,6
831,Doctor's Office,3
832,-1,-1
833,Coffee Shop,2
834,Office,3
835,Bus Station,7
836,University,1
837,College Academic Building,1
838,Mall,6
839,Train Station,7
840,Office,3
841,General Entertainment,0
842,Office,3
843,High School,3
844,Military Base,3
845,Train Station,7
846,Food Court,6
847,Train Station,7
848,College Science Building,1
849,High School,3
850,Building,8
851,Chinese Restaurant,2
852,College Classroom,1
853,Doctor's Office,3
854,Fast Food Restaurant,2
855,Food Court,6
856,Building,8
857,Student Center,1
858,Gym,6
859,Residential Building (Apartment / Condo),8
860,Home (private),8
861,Gym,6
862,College Classroom,1
863,Trade School,1
864,-1,-1
865,Airport Terminal,7
866,Plane,7
867,Dentist's Office,3
868,Hospital,3
869,Office,3
870,High School,3
871,Residential Building (Apartment / Condo),8
872,Building,8
873,Chinese Restaurant,2
874,Home (private),8
875,Park,5
876,High School,3
877,College Lab,1
878,Gas Station / Garage,6
879,Chinese Restaurant,2
880,Office,3
881,High School,3
882,Lounge,4
883,Bakery,2
884,Road,7
885,College Academic Building,1
886,Food Court,6
887,School,3
888,Medical Center,3
889,Building,8
890,General College & University,1
891,General College & University,1
892,Bus Station,7
893,Military Base,3
894,College Engineering Building,1
895,Road,7
896,-1,-1
897,Seafood Restaurant,2
898,Mall,6
899,Karaoke Bar,4
900,Plaza,5
901,Field,5
902,High School,3
903,College Academic Building,1
904,Road,7
905,Asian Restaurant,2
906,Residential Building (Apartment / Condo),8
907,Gas Station / Garage,6
908,Home (private),8
909,Tourist Information Center,7
910,Office,3
911,Subway,7
912,Office,3
913,Home (private),8
914,College Classroom,1
915,Building,8
916,Gym,6
917,Italian Restaurant,2
918,Hotel,7
919,Food Court,6
920,Office,3
921,College Administrative Building,1
922,College Library,1
