id,Year,cases
AT,1964,64.94
AU,1964,83.1
AW,1964,50.72
AZ,1964,48.58
BA,1964,22.04
BB,1964,37.04
BD,1964,5.98
BE,1964,92.98
BF,1964,5.1
BG,1964,44.06
BH,1964,82.46
BI,1964,2.16
BJ,1964,11.86
BM,1964,100
BN,1964,50.76
BO,1964,38
BR,1964,49.22
BS,1964,62.58
BT,1964,4.48
BW,1964,3.66
BY,1964,36.96
BZ,1964,52.8
CA,1964,72.14
CD,1964,25.34
CF,1964,22.82
CG,1964,34.56
CH,1964,53.56
CI,1964,23.14
CL,1964,70.92
CM,1964,16.3
CN,1964,17.28
CO,1964,49.8
CR,1964,35.5
CU,1964,59.12
CV,1964,17.82
CY,1964,37.68
CZ,1964,61.5
DE,1964,71.88
DJ,1964,54.94
DK,1964,76.34
DM,1964,34.74
DO,1964,34.04
DZ,1964,36.18
EC,1964,36.06
EE,1964,60.54
EG,1964,40.14
ER,1964,11.08
ES,1964,60.36
ET,1964,7.36
FI,1964,42.74
FJ,1964,32.02
FM,1964,23.26
FO,1964,24.76
FR,1964,66.06
GA,1964,22.52
GB,1964,77.92
GD,1964,31.1
GE,1964,44.38
GH,1964,25.54
GL,1964,64.58
GM,1964,14.02
GN,1964,12.5
GQ,1964,26.3
GR,1964,46.58
GT,1964,33.42
GU,1964,54.42
GW,1964,14.16
GY,1964,29.16
HK,1964,86.16
HN,1964,25.1
HR,1964,34.04
HT,1964,17.2
HU,1964,57.58
ID,1964,15.56
IE,1964,48.12
IL,1964,80.08
IM,1964,56.06
IN,1964,18.62
IQ,1964,49.14
IR,1964,36.42
IS,1964,82.22
IT,1964,61.32
JM,1964,36.76
JO,1964,53.62
JP,1964,46.54
KE,1964,8.36
KG,1964,35.56
KH,1964,10.7
KI,1964,18.94
KM,1964,16.12
KN,1964,30.24
KP,1964,44.12
KR,1964,31.46
KW,1964,78.42
KY,1964,100
KZ,1964,46.44
LA,1964,8.22
LB,1964,49.18
LC,1964,22.46
LI,1964,19.68
LK,1964,17.36
LR,1964,21.4
LS,1964,5.72
LT,1964,43.5
LU,1964,71.52
LV,1964,56.02
LY,1964,32.42
MA,1964,31.4
MC,1964,100
MD,1964,26.76
ME,1964,21.84
MG,1964,12.04
MH,1964,41.28
MK,1964,39.12
ML,1964,12.3
MM,1964,20.64
MN,1964,40.82
MO,1964,96.02
MP,1964,57.28
MR,1964,9.46
MT,1964,89.86
MU,1964,36.24
MV,1964,11.44
MW,1964,4.8
MX,1964,54.08
MY,1964,29.24
MZ,1964,4.42
NA,1964,19.58
NC,1964,43.16
NE,1964,6.6
NG,1964,19.32
NI,1964,42.08
NL,1964,60.6
NO,1964,56.06
NP,1964,3.66
NZ,1964,78.32
OM,1964,21.12
PA,1964,43.76
PE,1964,50.88
PF,1964,47.04
PG,1964,5.14
PH,1964,31.34
PK,1964,23.22
PL,1964,49.66
PR,1964,50.1
PT,1964,36.52
PW,1964,58
PY,1964,36.08
QA,1964,86.8
RO,1964,37
RS,1964,-1
RU,1964,57.48
RW,1964,2.72
SA,1964,37.3
SB,1964,6.92
SC,1964,32.02
SD,1964,12.86
SE,1964,76.18
SG,1964,100
SI,1964,31.64
SK,1964,36.3
SL,1964,19.64
SM,1964,53.3
SN,1964,25.72
SO,1964,19.46
SR,1964,47.14
ST,1964,20.66
SV,1964,38.78
SY,1964,39.36
SZ,1964,5.98
TD,1964,8.06
TG,1964,14.02
TH,1964,20.1
TJ,1964,34.8
TL,1964,11.14
TM,1964,46.96
TN,1964,39.26
TO,1964,19.12
TR,1964,33.66
TT,1964,14.9
TZ,1964,5.84
UA,1964,49.84
UG,1964,5.28
US,1964,71.52
UY,1964,81.08
UZ,1964,35.04
VC,1964,18.62
VE,1964,65.92
VI,1964,61.94
VN,1964,16.06
VU,1964,11.12
WS,1964,19.22
YE,1964,10.62
ZA,1964,47.08
ZM,1964,22.34
ZW,1964,14.2
AD,1965,70.4
AE,1965,75.7
AF,1965,9.4
AG,1965,36.6
AL,1965,31.2
AM,1965,55.6
AN,1965,72.9
AO,1965,12.5
AR,1965,76.4
AS,1965,68.3
