id,Year,cases
HT,1966,45.592656
HN,1966,28.065710
HK,1966,103.696497
HU,1966,31.790715
IN,1966,3.133935
ID,1966,19.966781
IR,1966,27.695100
IQ,1966,37.095965
IE,1966,51.813601
IL,1966,42.410584
IT,1966,8.703648
JP,1966,43.140156
JO,1966,48.149373
KZ,1966,11.140983
KE,1966,48.623615
KP,1966,13.416983
KR,1966,37.401088
KW,1966,80.982902
KG,1966,35.678142
LA,1966,63.199373
LB,1966,65.195460
LR,1966,44.232157
LY,1966,41.933717
MG,1966,40.974049
MW,1966,9.135962
MY,1966,13.517615
ML,1966,22.704906
MX,1966,28.371185
MN,1966,53.651904
MA,1966,28.379752
MZ,1966,66.519123
MM,1966,34.968275
NP,1966,32.934737
NL,1966,12.342337
NZ,1966,26.054025
NI,1966,30.861414
NE,1966,32.843240
NG,1966,11.160090
NO,1966,27.776967
PK,1966,19.739885
PA,1966,62.396785
PY,1966,58.747148
PE,1966,38.520686
PH,1966,28.493107
PL,1966,7.676157
PT,1966,49.701825
PR,1966,55.672768
RO,1966,16.287499
RU,1966,8.897001
RW,1966,-1.000000
SA,1966,12.610456
SN,1966,50.110200
RS,1966,-1.000000
SL,1966,30.563537
SG,1966,99.371148
SO,1966,24.689382
ZA,1966,13.748019
ES,1966,14.944748
SD,1966,26.794447
SE,1966,16.906856
CH,1966,19.482927
SY,1966,27.020802
TZ,1966,32.671566
TH,1966,39.740558
TG,1966,50.869807
TN,1966,24.568588
TR,1966,18.617735
UG,1966,51.438958
UA,1966,6.111163
AE,1966,45.109219
GB,1966,18.369739
US,1966,10.837007
UY,1966,59.981356
UZ,1966,32.176911
VE,1966,27.077206
VN,1966,26.580968
YE,1966,13.736656
ZM,1966,19.907769
ZW,1966,48.380584
AF,1967,36.740504
DZ,1967,24.100948
AO,1967,47.413994
AR,1967,42.838126
AM,1967,52.185763
AU,1967,25.143528
AT,1967,33.960534
AZ,1967,49.912252
BD,1967,23.295944
BY,1967,22.501534
BE,1967,17.276060
BJ,1967,35.415677
BO,1967,35.756282
BR,1967,13.403023
BG,1967,20.865456
BF,1967,32.541491
KH,1967,64.040028
CM,1967,20.536582
CA,1967,14.907953
TD,1967,37.664213
CL,1967,36.767339
CN,1967,4.763036
CO,1967,19.366611
CD,1967,16.873177
CG,1967,43.514085
CR,1967,50.414227
CI,1967,32.629418
CU,1967,33.819128
CZ,1967,17.058132
DK,1967,36.484695
DO,1967,36.583458
EC,1967,30.804988
EG,1967,37.394541
SV,1967,32.198357
ET,1967,29.496780
FI,1967,22.869906
FR,1967,24.029262
GE,1967,39.926022
DE,1967,5.850493
GH,1967,24.572066
GR,1967,52.376333
GT,1967,35.767018
GN,1967,51.975679
HT,1967,46.410693
HN,1967,28.194171
HK,1967,102.440999
HU,1967,31.672038
IN,1967,3.163172
ID,1967,19.865775
